name,flops,params,non_embed_params

2_4_256_128,3.957419904,89833434,21024768
2_4_256_256,7.978391808,89833434,21024768
2_4_256_512,16.580983296,89833434,21024768
2_4_256_1024,37.112946432,89833434,21024768
2_4_256_2048,92.102153984,89833434,21024768
2_4_256_4096,252.815787008,89833434,21024768
2_4_256_8192,777.764311296,89833434,21024768

205_4_256_128,3.814808,88786650,19977984
205_4_256_256,7.676459648,88786650,19977984
205_4_256_512,15.910045568,88786650,19977984
205_4_256_1024,35.501817344,88786650,19977984
205_4_256_2048,87.81312128,88786650,19977984
205_4_256_4096,239.930623488,88786650,19977984
205_4_256_8192,734.813591808,88786650,19977984

2_4_128_128,1.844484224,44018394,9480192
2_4_128_256,3.720840448,44018394,9480192
2_4_128_512,7.753780736,44018394,9480192
2_4_128_1024,17.481931392,44018394,9480192
2_4_128_2048,43.911593344,44018394,9480192

205_4_128_128,1.819319616,43758042,9219840
205_4_128_256,3.68726688,43758042,9219840
205_4_128_512,7.753736192,43758042,9219840
205_4_128_1024,17.750508672,43758042,9219840
205_4_128_2048,45.520373376,43758042,9219840

2_4_512_128,8.988613632,187754970,50405376
2_4_512_256,18.104427264,187754970,50405376
2_4_512_512,37.456933888,187754970,50405376
2_4_512_1024,82.819027456,187754970,50405376
2_4_512_2048,201.400177152,187754970,50405376
2_4_512_4096,539.991312384,187754970,50405376

205_4_512_128,8.409780544,183562458,46212864
205_4_512_256,16.862868736,183562458,46212864
205_4_512_512,34.638503424,183562458,46212864
205_4_512_1024,75.837872896,183562458,46212864
205_4_512_2048,182.068693504,183562458,46212864
205_4_512_4096,479.861246976,183562458,46212864

2_4_128_256_16,3.720840448,44018394,9480192
2_4_256_256_32,7.978391808,89833434,21024768
2_4_512_256_64,18.104427264,187754970,50405376
2_4_1024_256_128,44.79846912,408763866,134332416

205_4_128_256_16,3.68726688,43758042,9219840
205_4_256_256_32,7.676459648,88786650,19977984
205_4_512_256_64,16.862868736,183562458,46212864
205_4_1024_256_128,40.06744512,391988442,117556992

2_4_128_512_16,7.753780736,44018394,9480192
2_4_256_512_32,16.580983296,89833434,21024768
2_4_512_512_64,37.456933888,187754970,50405376
2_4_1024_512_128,92.09533696,408763866,134332416

205_4_128_512_16,7.753736192,43758042,9219840
205_4_256_512_32,15.910045568,88786650,19977984
205_4_512_512_64,34.638503424,183562458,46212864
205_4_1024_512_128,81.760055552,391988442,117556992
