name,flops,params,non_embed_params

205_2_128_16_16_linearmapping,0.111515648,35106154,567952
205_4_512_128_64_linearmapping,8.393003328,183561178,46211584
205_4_512_256_64_linearmapping,16.795759872,183561178,46211584
205_4_512_512_64_linearmapping,34.370067968,183561178,46211584
205_4_512_1024_64_linearmapping,74.764131072,183561178,46211584
205_4_512_2048_64_linearmapping,177.773726208,183561178,46211584
205_4_512_4096_64_linearmapping,462.681377792,183561178,46211584

205_4_128_512_16_linearmapping,7.485300736,43756762,9218560
205_4_256_512_32_linearmapping,15.641610112,88785370,19976704
205_4_1024_512_128_linearmapping,81.491620096,391987162,117555712

205_2_512_128_64_hard_gfish,8.103590784,181465050,44115456
205_2_512_256_64_hard_gfish,16.175060608,181465050,44115456
205_2_512_512_64_hard_gfish,32.960932736,181465050,44115456
205_2_512_1024_64_hard_gfish,71.273953792,181465050,44115456
205_2_512_2048_64_hard_gfish,168.115984384,181465050,44115456
205_2_512_4096_64_hard_gfish,432.616345088,181465050,44115456

205_2_128_512_16_hard_gfish,7.485358464,43626714,9088512
205_2_256_512_32_hard_gfish,15.306021248,88262106,19453440
205_2_1024_512_128_hard_gfish,76.324379392,383599578,109168128

205_2_128_256_16_hard_gfish,3.603375232,43626714,9088512
205_2_256_256_32_hard_gfish,7.458336704,88262106,19453440
205_2_1024_256_128_hard_gfish,37.634704256,383599578,109168128
