name_method,num_global_heads,d_model,num_local_heads,d_head,sequence_len,flops,params,non_embed_params
linear,0,256,8,32,128,3.823720224,89833434,21024768
linear,0,256,8,32,256,7.442640608,89833434,21024768
linear,0,256,8,32,512,14.435880096,89833434,21024768
linear,0,256,8,32,1024,28.526740832,89833434,21024768
linear,0,256,8,32,2048,57.758545984,89833434,21024768
linear,0,256,8,32,4096,115.392563008,89833434,21024768
linear,0,256,8,32,8192,228.037863296,89833434,21024768
linear,0,512,8,64,128,8.721182432,187754970,50405376
linear,0,512,8,64,256,17.032764064,187754970,50405376
linear,0,512,8,64,512,33.166728288,187754970,50405376
linear,0,512,8,64,1024,65.643419456,187754970,50405376
linear,0,512,8,64,2048,132.696953152,187754970,50405376
linear,0,512,8,64,4096,265.144864384,187754970,50405376
linear,0,512,8,64,8192,524.795211328,187754970,50405376
linear,0,1024,8,128,128,21.73733136,408763866,134332416
linear,0,1024,8,128,256,42.65546352,408763866,134332416
linear,0,1024,8,128,512,83.51332896,408763866,134332416
linear,0,1024,8,128,1024,165.64656928,408763866,134332416
linear,0,1024,8,128,2048,334.11338304,408763866,134332416
linear,0,1024,8,128,4096,667.72869024,408763866,134332416
linear,0,1024,8,128,8192,1324.4683456,408763866,134332416
linear,0,2048,8,256,128,60.654532704,951444954,402849792
linear,0,2048,8,256,256,119.670668608,951444954,402849792
linear,0,2048,8,256,512,235.746126656,951444954,402849792
linear,0,2048,8,256,1024,468.732092032,951444954,402849792
linear,0,2048,8,256,2048,943.104681024,951444954,402849792
linear,0,2048,8,256,4096,1885.213210368,951444954,402849792
linear,0,2048,8,256,8192,3748.448238976,951444954,402849792
linear,0,4096,8,512,128,190.028545344,2439460314,1342537728
linear,0,4096,8,512,256,376.780282688,2439460314,1342537728
linear,0,4096,8,512,512,746.370160256,2439460314,1342537728
linear,0,4096,8,512,1024,1487.220005952,2439460314,1342537728
linear,0,4096,8,512,2048,2985.721005824,2439460314,1342537728
linear,0,4096,8,512,4096,5969.449596288,2439460314,1342537728
linear,0,4096,8,512,8192,11894.943069056,2439460314,1342537728
rbf2keys_linear,0,256,4,32,128,3.622131472,88260698,19452032
rbf2keys_linear,0,256,4,32,256,7.039462944,88260698,19452032
rbf2keys_linear,0,256,4,32,512,13.629525728,88260698,19452032
rbf2keys_linear,0,256,4,32,1024,26.914030496,88260698,19452032
rbf2keys_linear,0,256,4,32,2048,54.533122912,88260698,19452032
rbf2keys_linear,0,256,4,32,4096,108.941728064,88260698,19452032
rbf2keys_linear,0,256,4,32,8192,215.136185408,88260698,19452032
rbf2keys_linear,0,512,4,64,128,7.915351584,181463642,44114048
rbf2keys_linear,0,512,4,64,256,15.421103328,181463642,44114048
rbf2keys_linear,0,512,4,64,512,29.943405216,181463642,44114048
rbf2keys_linear,0,512,4,64,1024,59.196770912,181463642,44114048
rbf2keys_linear,0,512,4,64,2048,119.803667264,181463642,44114048
rbf2keys_linear,0,512,4,64,4096,239.358284608,181463642,44114048
rbf2keys_linear,0,512,4,64,8192,473.222043776,181463642,44114048
rbf2keys_linear,0,1024,4,128,128,18.515057888,383598170,109166720
rbf2keys_linear,0,1024,4,128,256,36.210914976,383598170,109166720
rbf2keys_linear,0,1024,4,128,512,70.624229472,383598170,109166720
rbf2keys_linear,0,1024,4,128,1024,139.868381504,383598170,109166720
rbf2keys_linear,0,1024,4,128,2048,282.556999488,383598170,109166720
rbf2keys_linear,0,1024,4,128,4096,564.615915136,383598170,109166720
